ts,container,cpu_pct,mem_used,mem_pct
1780068235,xpltest-worker-1,0.19,279.6MiB/512MiB,54.62
1780068238,xpltest-app-1,43.49,643.6MiB/1GiB,62.85
1780068238,xpltest-postgres-1,1.99,180.8MiB/2GiB,8.83
1780068238,xpltest-redis-1,1.18,9.938MiB/512MiB,1.94
1780068238,xpltest-worker-1,0.52,278.7MiB/512MiB,54.43
1780068242,xpltest-app-1,49.81,641.8MiB/1GiB,62.68
1780068242,xpltest-postgres-1,2.21,180.8MiB/2GiB,8.83
1780068242,xpltest-redis-1,1.11,10MiB/512MiB,1.95
1780068242,xpltest-worker-1,0.66,278.1MiB/512MiB,54.32
1780068245,xpltest-app-1,48.91,630.6MiB/1GiB,61.59
1780068245,xpltest-postgres-1,4.21,180.8MiB/2GiB,8.83
1780068245,xpltest-redis-1,2.19,10.38MiB/512MiB,2.03
1780068245,xpltest-worker-1,0.53,278.1MiB/512MiB,54.32
1780068249,xpltest-app-1,40.72,639.5MiB/1GiB,62.45
1780068249,xpltest-postgres-1,1.91,180.8MiB/2GiB,8.83
1780068249,xpltest-redis-1,1.02,10.05MiB/512MiB,1.96
1780068249,xpltest-worker-1,0.19,278.2MiB/512MiB,54.33
1780068252,xpltest-app-1,43.08,633.9MiB/1GiB,61.90
1780068252,xpltest-postgres-1,2.72,180.9MiB/2GiB,8.83
1780068252,xpltest-redis-1,1.26,10.05MiB/512MiB,1.96
1780068252,xpltest-worker-1,0.30,278.8MiB/512MiB,54.45
1780068256,xpltest-app-1,40.69,629.1MiB/1GiB,61.44
1780068256,xpltest-postgres-1,2.48,180.8MiB/2GiB,8.83
1780068256,xpltest-redis-1,0.83,10.34MiB/512MiB,2.02
1780068256,xpltest-worker-1,0.36,278.8MiB/512MiB,54.45
1780068259,xpltest-app-1,31.90,629.1MiB/1GiB,61.44
1780068259,xpltest-postgres-1,3.42,181.1MiB/2GiB,8.84
1780068259,xpltest-redis-1,0.87,10.04MiB/512MiB,1.96
1780068259,xpltest-worker-1,0.35,278.5MiB/512MiB,54.39
1780068263,xpltest-app-1,48.71,632.2MiB/1GiB,61.74
1780068263,xpltest-postgres-1,3.18,181.2MiB/2GiB,8.85
1780068263,xpltest-redis-1,0.97,10.04MiB/512MiB,1.96
1780068263,xpltest-worker-1,0.42,278.8MiB/512MiB,54.44
1780068266,xpltest-app-1,41.58,635.5MiB/1GiB,62.06
1780068266,xpltest-postgres-1,4.02,174.8MiB/2GiB,8.54
1780068266,xpltest-redis-1,3.51,10.16MiB/512MiB,1.99
1780068266,xpltest-worker-1,0.06,278.7MiB/512MiB,54.43
1780068270,xpltest-app-1,42.79,637.9MiB/1GiB,62.30
1780068270,xpltest-postgres-1,4.10,175.8MiB/2GiB,8.58
1780068270,xpltest-redis-1,3.42,10.04MiB/512MiB,1.96
1780068270,xpltest-worker-1,0.17,278.4MiB/512MiB,54.37
1780068274,xpltest-app-1,35.16,637.4MiB/1GiB,62.24
1780068274,xpltest-postgres-1,1.96,175.8MiB/2GiB,8.58
1780068274,xpltest-redis-1,0.94,10.12MiB/512MiB,1.98
1780068274,xpltest-worker-1,0.23,278.8MiB/512MiB,54.44
1780068277,xpltest-app-1,36.80,633.7MiB/1GiB,61.89
1780068277,xpltest-postgres-1,2.27,176.5MiB/2GiB,8.62
1780068277,xpltest-redis-1,0.94,10.35MiB/512MiB,2.02
1780068277,xpltest-worker-1,0.21,278.6MiB/512MiB,54.42
1780068281,xpltest-app-1,68.87,632.2MiB/1GiB,61.74
