ts,container,cpu_pct,mem_used,mem_pct
1780067975,xpltest-worker-1,0.07,277.9MiB/512MiB,54.28
1780067979,xpltest-app-1,40.26,458.9MiB/1GiB,44.82
1780067979,xpltest-postgres-1,2.30,178.4MiB/2GiB,8.71
1780067979,xpltest-redis-1,0.49,10.14MiB/512MiB,1.98
1780067979,xpltest-worker-1,0.33,278.2MiB/512MiB,54.34
1780067982,xpltest-app-1,48.95,468MiB/1GiB,45.70
1780067982,xpltest-postgres-1,7.87,169MiB/2GiB,8.25
1780067982,xpltest-redis-1,2.92,10.14MiB/512MiB,1.98
1780067982,xpltest-worker-1,0.57,277.9MiB/512MiB,54.28
1780067986,xpltest-app-1,44.62,473.5MiB/1GiB,46.24
1780067986,xpltest-postgres-1,5.06,170.9MiB/2GiB,8.34
1780067986,xpltest-redis-1,0.51,10.09MiB/512MiB,1.97
1780067986,xpltest-worker-1,0.20,278.5MiB/512MiB,54.40
1780067989,xpltest-app-1,49.35,478.2MiB/1GiB,46.70
1780067989,xpltest-postgres-1,2.11,172.5MiB/2GiB,8.42
1780067989,xpltest-redis-1,1.00,10.09MiB/512MiB,1.97
1780067989,xpltest-worker-1,0.20,278.5MiB/512MiB,54.40
1780067993,xpltest-app-1,46.64,483.5MiB/1GiB,47.22
1780067993,xpltest-postgres-1,3.04,173.5MiB/2GiB,8.47
1780067993,xpltest-redis-1,2.82,10.1MiB/512MiB,1.97
1780067993,xpltest-worker-1,0.33,278.1MiB/512MiB,54.32
1780067996,xpltest-app-1,49.42,492MiB/1GiB,48.05
1780067996,xpltest-postgres-1,2.81,173.5MiB/2GiB,8.47
1780067996,xpltest-redis-1,0.88,10.34MiB/512MiB,2.02
1780067996,xpltest-worker-1,0.22,278.3MiB/512MiB,54.36
1780068000,xpltest-app-1,50.82,488.6MiB/1GiB,47.72
1780068000,xpltest-postgres-1,3.35,174.4MiB/2GiB,8.52
1780068000,xpltest-redis-1,1.25,10.12MiB/512MiB,1.98
1780068000,xpltest-worker-1,5.60,279.9MiB/512MiB,54.66
1780068003,xpltest-app-1,32.05,496.4MiB/1GiB,48.48
1780068003,xpltest-postgres-1,1.17,173.9MiB/2GiB,8.49
1780068003,xpltest-redis-1,0.34,10.15MiB/512MiB,1.98
1780068003,xpltest-worker-1,0.29,279.8MiB/512MiB,54.66
1780068007,xpltest-app-1,47.08,492.1MiB/1GiB,48.05
1780068007,xpltest-postgres-1,4.89,174.5MiB/2GiB,8.52
1780068007,xpltest-redis-1,2.41,10.14MiB/512MiB,1.98
1780068007,xpltest-worker-1,0.24,278.8MiB/512MiB,54.44
1780068010,xpltest-app-1,48.40,498.1MiB/1GiB,48.64
1780068010,xpltest-postgres-1,1.90,174.3MiB/2GiB,8.51
1780068010,xpltest-redis-1,0.36,10.13MiB/512MiB,1.98
1780068010,xpltest-worker-1,0.53,278.8MiB/512MiB,54.45
1780068014,xpltest-app-1,50.01,493.5MiB/1GiB,48.19
1780068014,xpltest-postgres-1,2.23,175.5MiB/2GiB,8.57
1780068014,xpltest-redis-1,1.03,10.14MiB/512MiB,1.98
1780068014,xpltest-worker-1,0.47,278.5MiB/512MiB,54.40
1780068018,xpltest-app-1,42.62,500.3MiB/1GiB,48.86
1780068018,xpltest-postgres-1,3.99,175.4MiB/2GiB,8.57
1780068018,xpltest-redis-1,2.27,10.11MiB/512MiB,1.97
1780068018,xpltest-worker-1,0.48,278.2MiB/512MiB,54.34
1780068021,xpltest-app-1,50.68,507.2MiB/1GiB,49.53
1780068021,xpltest-postgres-1,1.25,176.8MiB/2GiB,8.63
1780068021,xpltest-redis-1,0.88,10.11MiB/512MiB,1.97
1780068021,xpltest-worker-1,0.49,278.5MiB/512MiB,54.40
1780068025,xpltest-app-1,46.54,506.6MiB/1GiB,49.47
1780068025,xpltest-postgres-1,1.84,176.9MiB/2GiB,8.64
1780068025,xpltest-redis-1,1.40,10.17MiB/512MiB,1.99
1780068025,xpltest-worker-1,0.44,278.6MiB/512MiB,54.42
1780068028,xpltest-app-1,51.34,519.2MiB/1GiB,50.70
1780068028,xpltest-postgres-1,1.67,177.3MiB/2GiB,8.66
1780068028,xpltest-redis-1,0.78,10.12MiB/512MiB,1.98
1780068028,xpltest-worker-1,0.23,278.5MiB/512MiB,54.39
1780068032,xpltest-app-1,48.66,515.2MiB/1GiB,50.31
1780068032,xpltest-postgres-1,2.06,176.9MiB/2GiB,8.64
1780068032,xpltest-redis-1,0.92,10.12MiB/512MiB,1.98
1780068032,xpltest-worker-1,0.21,278.1MiB/512MiB,54.32
1780068035,xpltest-app-1,45.46,520.6MiB/1GiB,50.84
1780068035,xpltest-postgres-1,3.04,177.7MiB/2GiB,8.67
1780068035,xpltest-redis-1,0.81,10.32MiB/512MiB,2.02
1780068035,xpltest-worker-1,0.85,278.9MiB/512MiB,54.47
1780068039,xpltest-app-1,48.18,522.5MiB/1GiB,51.02
1780068039,xpltest-postgres-1,1.67,176.8MiB/2GiB,8.63
1780068039,xpltest-redis-1,0.63,10.06MiB/512MiB,1.97
1780068039,xpltest-worker-1,0.52,278.4MiB/512MiB,54.38
1780068042,xpltest-app-1,50.49,529MiB/1GiB,51.66
1780068042,xpltest-postgres-1,6.02,178.5MiB/2GiB,8.72
1780068042,xpltest-redis-1,4.17,10.07MiB/512MiB,1.97
1780068042,xpltest-worker-1,0.75,278.4MiB/512MiB,54.38
1780068046,xpltest-app-1,49.18,534.7MiB/1GiB,52.22
1780068046,xpltest-postgres-1,0.59,178.1MiB/2GiB,8.70
1780068046,xpltest-redis-1,0.84,10.05MiB/512MiB,1.96
1780068046,xpltest-worker-1,0.10,278.8MiB/512MiB,54.45
1780068049,xpltest-app-1,41.42,540.9MiB/1GiB,52.82
1780068049,xpltest-postgres-1,2.32,177.9MiB/2GiB,8.69
