ts,container,cpu_pct,mem_used,mem_pct
1780066962,xpltest-worker-1,0.12,279.6MiB/512MiB,54.62
1780066965,xpltest-app-1,33.14,446.7MiB/1GiB,43.62
1780066965,xpltest-postgres-1,5.23,157.6MiB/2GiB,7.70
1780066965,xpltest-redis-1,0.66,10.14MiB/512MiB,1.98
1780066965,xpltest-worker-1,0.15,279.8MiB/512MiB,54.64
1780066969,xpltest-app-1,42.70,449.9MiB/1GiB,43.93
1780066969,xpltest-postgres-1,3.34,157.5MiB/2GiB,7.69
1780066969,xpltest-redis-1,1.44,10.19MiB/512MiB,1.99
1780066969,xpltest-worker-1,1.30,279.9MiB/512MiB,54.67
1780066973,xpltest-app-1,47.95,454.3MiB/1GiB,44.36
1780066973,xpltest-postgres-1,2.92,157.5MiB/2GiB,7.69
1780066973,xpltest-redis-1,0.85,10.4MiB/512MiB,2.03
1780066973,xpltest-worker-1,0.17,280MiB/512MiB,54.68
1780066976,xpltest-app-1,40.30,468.4MiB/1GiB,45.74
1780066976,xpltest-postgres-1,5.00,158.3MiB/2GiB,7.73
1780066976,xpltest-redis-1,3.52,10.16MiB/512MiB,1.99
1780066976,xpltest-worker-1,0.31,279.3MiB/512MiB,54.55
1780066980,xpltest-app-1,37.18,471.1MiB/1GiB,46.01
1780066980,xpltest-postgres-1,2.02,158.3MiB/2GiB,7.73
1780066980,xpltest-redis-1,0.91,10.43MiB/512MiB,2.04
1780066980,xpltest-worker-1,0.46,279.1MiB/512MiB,54.52
1780066983,xpltest-app-1,43.19,486.4MiB/1GiB,47.50
1780066983,xpltest-postgres-1,1.92,158.3MiB/2GiB,7.73
1780066983,xpltest-redis-1,0.69,10.14MiB/512MiB,1.98
1780066983,xpltest-worker-1,0.16,279MiB/512MiB,54.49
1780066987,xpltest-app-1,37.70,483.9MiB/1GiB,47.25
1780066987,xpltest-postgres-1,2.23,159.2MiB/2GiB,7.77
1780066987,xpltest-redis-1,1.13,10.15MiB/512MiB,1.98
1780066987,xpltest-worker-1,0.18,279.1MiB/512MiB,54.51
1780066990,xpltest-app-1,41.37,488.1MiB/1GiB,47.67
