ts,container,cpu_pct,mem_used,mem_pct
1780066868,xpltest-worker-1,1.01,278.8MiB/512MiB,54.44
1780066871,xpltest-app-1,13.80,283.2MiB/1GiB,27.65
1780066871,xpltest-postgres-1,0.50,154.8MiB/2GiB,7.56
1780066871,xpltest-redis-1,1.01,10.2MiB/512MiB,1.99
1780066871,xpltest-worker-1,0.27,278.9MiB/512MiB,54.47
1780066875,xpltest-app-1,6.62,283.6MiB/1GiB,27.69
1780066875,xpltest-postgres-1,3.12,154.7MiB/2GiB,7.56
1780066875,xpltest-redis-1,1.00,10.2MiB/512MiB,1.99
1780066875,xpltest-worker-1,0.36,279MiB/512MiB,54.50
1780066878,xpltest-app-1,17.95,285.5MiB/1GiB,27.89
1780066878,xpltest-postgres-1,0.42,154.7MiB/2GiB,7.56
1780066878,xpltest-redis-1,1.44,10.46MiB/512MiB,2.04
1780066878,xpltest-worker-1,0.72,279.1MiB/512MiB,54.51
1780066882,xpltest-app-1,8.82,284.5MiB/1GiB,27.79
1780066882,xpltest-postgres-1,0.42,154.7MiB/2GiB,7.56
1780066882,xpltest-redis-1,1.03,10.17MiB/512MiB,1.99
1780066882,xpltest-worker-1,0.35,278.8MiB/512MiB,54.45
1780066885,xpltest-app-1,42.12,287MiB/1GiB,28.03
1780066885,xpltest-postgres-1,1.51,154.9MiB/2GiB,7.56
1780066885,xpltest-redis-1,0.90,10.19MiB/512MiB,1.99
1780066885,xpltest-worker-1,0.43,278.9MiB/512MiB,54.47
1780066889,xpltest-app-1,13.87,287.3MiB/1GiB,28.06
1780066889,xpltest-postgres-1,0.92,155.2MiB/2GiB,7.58
1780066889,xpltest-redis-1,1.83,10.22MiB/512MiB,2.00
1780066889,xpltest-worker-1,0.65,279.2MiB/512MiB,54.52
1780066892,xpltest-app-1,1.50,287.3MiB/1GiB,28.06
1780066892,xpltest-postgres-1,0.17,155.7MiB/2GiB,7.60
1780066892,xpltest-redis-1,1.00,10.22MiB/512MiB,2.00
1780066892,xpltest-worker-1,0.28,279.6MiB/512MiB,54.61
