ts,container,cpu_pct,mem_used,mem_pct
1780069455,xpltest-worker-1,0.00,0B/0B,0.00
1780069458,xpltest-app-1,28.56,576.2MiB/1GiB,56.27
1780069458,xpltest-postgres-1,0.99,163.5MiB/2GiB,7.98
1780069458,xpltest-redis-1,0.90,9.711MiB/512MiB,1.90
1780069458,xpltest-worker-1,0.00,0B/0B,0.00
1780069462,xpltest-app-1,49.99,575.1MiB/1GiB,56.16
1780069462,xpltest-postgres-1,1.78,164.1MiB/2GiB,8.01
1780069462,xpltest-redis-1,0.90,9.703MiB/512MiB,1.90
1780069462,xpltest-worker-1,0.00,0B/0B,0.00
1780069465,xpltest-app-1,51.68,562.9MiB/1GiB,54.97
1780069465,xpltest-postgres-1,1.32,164.1MiB/2GiB,8.01
1780069465,xpltest-redis-1,2.74,9.703MiB/512MiB,1.90
1780069465,xpltest-worker-1,0.00,0B/0B,0.00
1780069469,xpltest-app-1,89.89,554.4MiB/1GiB,54.14
1780069469,xpltest-postgres-1,2.23,164.1MiB/2GiB,8.01
1780069469,xpltest-redis-1,2.75,9.953MiB/512MiB,1.94
1780069469,xpltest-worker-1,0.00,0B/0B,0.00
1780069472,xpltest-app-1,29.42,567.9MiB/1GiB,55.46
1780069472,xpltest-postgres-1,1.57,164.6MiB/2GiB,8.04
1780069472,xpltest-redis-1,1.10,9.953MiB/512MiB,1.94
1780069472,xpltest-worker-1,0.00,0B/0B,0.00
1780069476,xpltest-app-1,36.90,571.2MiB/1GiB,55.78
1780069476,xpltest-postgres-1,1.00,164.2MiB/2GiB,8.02
1780069476,xpltest-redis-1,0.91,9.703MiB/512MiB,1.90
1780069476,xpltest-worker-1,0.00,0B/0B,0.00
1780069479,xpltest-app-1,27.70,582.7MiB/1GiB,56.90
1780069479,xpltest-postgres-1,4.64,164.1MiB/2GiB,8.01
1780069479,xpltest-redis-1,3.16,9.703MiB/512MiB,1.90
1780069479,xpltest-worker-1,0.00,0B/0B,0.00
1780069483,xpltest-app-1,31.77,576.7MiB/1GiB,56.32
